id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6048583,3 Bedroom Apartment - Greenwich Vlg,31389734,Matt,Manhattan,Greenwich Village,40.72966,-73.99787,Entire home/apt,120,4,1,2015-08-22,0.02,1,0
6051044,Private Garden View — Eco Home — 3 Min to Subway!,16139880,Ksenia & Masha,Brooklyn,Bedford-Stuyvesant,40.67733,-73.91573,Private room,71,3,114,2020-03-01,1.79,7,90
6051782,Oversized 1BR~Union square~Sleeps 4~Best Value,2119276,Eran,Manhattan,Gramercy,40.73342,-73.98545,Entire home/apt,150,30,10,2019-04-11,0.16,43,137
6051856,Homey Room w/ Lots of Sunlight!,9828418,Gabriela,Manhattan,Washington Heights,40.84411,-73.93764,Private room,45,2,3,2016-05-07,0.05,1,0
6054194,"Bright, Clean 1 Bd 2 Blks to Trains",2568690,Collin,Queens,Astoria,40.75673,-73.9253,Entire home/apt,150,3,5,2020-01-05,0.08,1,14
6054400,Cozy Brooklyn Apartment,18874199,Alina,Brooklyn,Greenpoint,40.73629,-73.95208,Entire home/apt,75,1,27,2015-10-05,0.42,1,0
6054864,"Sunny, Spacious, Perfect Location!",3088202,Pete,Brooklyn,Carroll Gardens,40.68051,-73.99743,Entire home/apt,109,4,6,2017-03-05,0.09,1,0
6055964,Beautiful Private Room,16151285,Carol,Bronx,Williamsbridge,40.88082,-73.84793,Private room,42,28,1,2016-09-26,0.02,6,301
6055980,AFFORDABLE TWIN PRIVATE ROOM,16151285,Carol,Bronx,Williamsbridge,40.88011,-73.84968,Private room,67,3,6,2017-12-16,0.10,6,41
6056028,Central Park W Pristine Apartment,10622869,Lori,Manhattan,Upper West Side,40.78826,-73.96767,Entire home/apt,499,1,29,2019-12-03,0.45,1,365
6059556,Beautifully renovated brownstone,1098902,Amy,Brooklyn,Park Slope,40.66955,-73.98174,Private room,480,3,0,,,2,194
6062060,2 large rooms in sunny brownstone,24561040,Ame,Brooklyn,Park Slope,40.67975,-73.97666,Private room,200,2,9,2017-05-21,0.15,3,358
6063050,Private Room in 3BD Apt with a queen bed,9897580,David,Brooklyn,Bedford-Stuyvesant,40.68669,-73.93452,Private room,38,6,60,2020-01-11,0.93,2,253
6066563,Garden House in the East Bronx,19810363,Eric,Bronx,Clason Point,40.81241,-73.85639,Entire home/apt,80,2,117,2020-07-25,1.85,1,313
6069703,Urban sanctuary near Bedford L!,17958459,Maria,Brooklyn,Williamsburg,40.71462,-73.96309,Entire home/apt,69,7,55,2020-03-02,0.86,1,65
6070899,Spacious Family Apt Block from Park,13934385,Jesse,Manhattan,Upper West Side,40.77684,-73.97979,Entire home/apt,175,5,2,2017-10-18,0.03,1,0
6071347,"Cozy, Entire Apt, Close to L train",3987736,Marcel,Brooklyn,Bushwick,40.70069,-73.91114,Entire home/apt,80,5,8,2017-09-08,0.13,1,0
6071456,Super cool and sunny apartment in Crown Heights,21248779,Charles,Brooklyn,Crown Heights,40.67406,-73.95234,Entire home/apt,150,2,27,2019-10-27,0.46,1,89
6071870,Live in Harlem close to Columbia U!,21940966,Mekkie,Manhattan,Morningside Heights,40.80465,-73.95827,Private room,60,2,7,2019-01-07,0.12,2,145
6072842,Convenient and cozy space!,31522185,Dimitri,Queens,Astoria,40.76602,-73.91742,Shared room,65,5,4,2016-08-28,0.06,1,0
6074975,Home On Kissena Park in Flushing NYC,23234988,Ann,Queens,Flushing,40.75016,-73.80653,Entire home/apt,389,3,82,2020-03-01,1.28,6,356
6076202,A Modern 1 bedroom Apartment in Brooklyn,12692690,Sebastian,Brooklyn,Brooklyn Heights,40.69384,-73.99261,Entire home/apt,198,7,8,2020-01-04,0.13,1,0
6077354,Cozy attic with private bath,31545214,Paul & Hana,Queens,Middle Village,40.72399,-73.87088,Private room,100,2,56,2020-01-01,0.87,1,365
6077798,Cozy Room In Beautiful BK Loft,17249370,Enrique,Brooklyn,Bushwick,40.69423,-73.90608,Private room,50,5,4,2020-01-01,0.06,1,364
6078234,"5* Chic, Spacious & Quiet Manhattan NYC 1BDR Gem!",31425596,Kevin,Manhattan,Upper West Side,40.78866,-73.97878,Entire home/apt,186,4,80,2020-03-10,1.25,1,179
6079079,4 bedrooms private house,30214562,Sharon,Queens,Jamaica Estates,40.72362,-73.791,Entire home/apt,145,4,38,2017-06-28,0.59,1,135
6079197,Single private room near train 1,31555753,Naichen,Manhattan,Upper West Side,40.80272,-73.96634,Private room,45,1,7,2015-08-02,0.11,1,0
6084475,Casa E 2A,31534322,Nia,Queens,Long Island City,40.74637,-73.94615,Private room,55,14,100,2020-03-06,1.57,3,74
6085109,Spacious 1BD Red Hook Apartment,8448216,Rhys,Brooklyn,Red Hook,40.67529,-74.0099,Entire home/apt,120,43,0,,,1,0
6085932,"Historic, Sunny Prospect Park Apt!",1211856,Kim,Brooklyn,Prospect-Lefferts Gardens,40.6586,-73.96104,Private room,80,7,4,2019-01-01,0.13,1,365
6087827,One Block From Train - 4/23-4/30,31594375,Jesseca,Brooklyn,Bedford-Stuyvesant,40.69962,-73.94102,Private room,85,1,0,,,1,0
6087959,2000sq $2 million 3 story townhouse,28023382,Edwin,Brooklyn,Gowanus,40.68383,-73.98869,Entire home/apt,878,1,205,2020-07-18,3.28,1,363
6088910,Charming 1 Bed Room/ Exposed Brick,31599293,Courtney,Manhattan,Hell's Kitchen,40.75749,-73.99657,Entire home/apt,180,3,1,2015-05-04,0.02,1,0
6089007,Charming Lrg Studio w/privt.deck ½ block fro subwy,12348211,Antonio,Manhattan,Upper West Side,40.78344,-73.97941,Entire home/apt,90,30,24,2020-01-26,0.40,1,259
6090186,Location Angel Marlie ( only female),3250450,Petya,Queens,Jackson Heights,40.75181,-73.89064,Private room,40,25,1,2018-09-04,0.04,19,365
6091208,BK Private Room&Bath - comfortable!,4183050,Brett,Brooklyn,Williamsburg,40.7168,-73.94073,Private room,96,3,28,2016-07-02,0.44,1,0
6091224,Sunny 1 Bedroom in Harlem!,2798394,Dana,Manhattan,Harlem,40.80386,-73.95369,Entire home/apt,105,4,9,2019-01-02,0.14,1,0
6091850,Cozy 1BD Apt in one of the coolest neighborhoods,31614694,Silvia,Queens,Long Island City,40.76081,-73.92886,Entire home/apt,100,2,210,2020-06-18,3.39,1,291
6092535,One block to Central Park. Summer rental.,17879321,Allison,Manhattan,Upper West Side,40.77872,-73.97614,Entire home/apt,150,28,2,2019-06-30,0.08,1,14
6092865,Murray Hill Room in Prime Location,31620042,Matthew,Manhattan,Kips Bay,40.74411,-73.97818,Private room,92,3,24,2020-01-20,0.37,1,258
6093352,Sunny Room 15min from Manhattan,31621291,Elisabeth,Brooklyn,Williamsburg,40.7058,-73.93803,Private room,51,1,325,2020-08-09,5.04,2,45
6093459,The very heart of Williamsburg,26414016,Guillermo,Brooklyn,Williamsburg,40.7186,-73.95951,Private room,89,5,6,2016-11-27,0.09,2,0
6094046,Central  Times Square w prvte bath,31626212,Troy,Manhattan,Theater District,40.75863,-73.98472,Private room,62,10,169,2020-03-17,2.63,5,276
6094708,"Lower East Side, Private 1BD+ for2",31629890,Takuya,Manhattan,Lower East Side,40.71724,-73.98546,Entire home/apt,85,1,0,,,1,0
6099485,Enormous Sunny Room in Prime Clinton Hill Brooklyn,15763944,Maral,Brooklyn,Bedford-Stuyvesant,40.69137,-73.95982,Private room,68,3,2,2018-06-25,0.06,1,0
6100514,1BR 5 minute walk to Times Square,6230173,Luke,Manhattan,Hell's Kitchen,40.76017,-73.99198,Entire home/apt,386,4,30,2017-10-24,0.50,1,364
6101104,1 BR UPPER EAST SIDE,9107715,Michele,Manhattan,Upper East Side,40.77526,-73.95075,Entire home/apt,150,5,30,2020-05-24,0.49,1,177
6102494,Amazing Midtown location near Grand Central,3246472,Sylvia,Manhattan,Midtown,40.7519,-73.97134,Private room,140,2,0,,,1,0
6103146,Beautiful 1 BR by Prospect Park,182477,Shante,Brooklyn,Prospect-Lefferts Gardens,40.6566,-73.96148,Entire home/apt,100,28,11,2020-03-16,0.18,1,0
