Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1999-07-26 00:00:00+00:00,85.71800994873047,134.75,136.125,134.625,134.875,4333400
1999-07-27 00:00:00+00:00,86.43366241455078,135.875,137.203125,135.375,136.0,5908500
1999-07-28 00:00:00+00:00,86.71192932128906,136.3125,137.3125,135.59375,136.25,3955500
1999-07-29 00:00:00+00:00,85.49935150146484,134.40625,135.25,133.3125,134.9375,7760600
1999-07-30 00:00:00+00:00,84.44575500488281,132.75,135.34375,132.5625,134.8125,5994300
1999-08-02 00:00:00+00:00,84.64453887939453,133.0625,134.75,132.5,132.75,6065500
1999-08-03 00:00:00+00:00,84.24696350097656,132.4375,133.84375,131.375,133.71875,5445400
1999-08-04 00:00:00+00:00,83.093994140625,130.625,133.875,130.4375,132.71875,6497900
1999-08-05 00:00:00+00:00,83.849365234375,131.8125,131.9375,128.84375,130.875,10322000
1999-08-06 00:00:00+00:00,82.93494415283203,130.375,132.0,129.5,131.21875,7537700
1999-08-09 00:00:00+00:00,82.75601959228516,130.09375,131.796875,129.75,130.59375,5565900
1999-08-10 00:00:00+00:00,81.84162902832031,128.65625,130.15625,127.0,129.875,9793300
1999-08-11 00:00:00+00:00,82.8355712890625,130.21875,130.53125,128.625,129.6875,8003400
1999-08-12 00:00:00+00:00,82.785888671875,130.140625,131.8125,129.90625,130.6875,7036800
1999-08-13 00:00:00+00:00,84.70418548583984,133.15625,133.25,131.125,131.625,5857700
1999-08-16 00:00:00+00:00,85.08187103271484,133.75,133.96875,132.25,133.125,3927000
1999-08-17 00:00:00+00:00,85.63848876953125,134.625,134.84375,133.125,134.4375,4808000
1999-08-18 00:00:00+00:00,85.0222396850586,133.65625,134.375,133.25,134.203125,4355500
1999-08-19 00:00:00+00:00,84.32649993896484,132.5625,133.234375,131.6875,132.375,6448100
1999-08-20 00:00:00+00:00,85.1812515258789,133.90625,134.125,132.6875,133.0625,3663700
1999-08-23 00:00:00+00:00,86.81135559082031,136.46875,136.546875,134.65625,134.8125,5637800
1999-08-24 00:00:00+00:00,87.12939453125,136.96875,137.96875,135.375,136.0625,9279500
1999-08-25 00:00:00+00:00,88.02398681640625,138.375,138.78125,136.15625,137.1875,6005300
1999-08-26 00:00:00+00:00,86.97036743164062,136.71875,138.421875,136.5,138.28125,4322300
1999-08-27 00:00:00+00:00,85.91680145263672,135.0625,137.0625,135.0625,136.875,6247400
1999-08-30 00:00:00+00:00,84.32649993896484,132.5625,135.5,132.0,135.34375,4652000
1999-08-31 00:00:00+00:00,84.0084457397461,132.0625,133.75,130.875,132.9375,11453700
1999-09-01 00:00:00+00:00,85.0420913696289,133.6875,133.734375,132.3125,132.9375,6863900
1999-09-02 00:00:00+00:00,84.03825378417969,132.109375,132.671875,130.65625,132.125,10896300
1999-09-03 00:00:00+00:00,86.49327850341797,135.96875,136.5,134.6875,134.875,9160800
1999-09-07 00:00:00+00:00,86.17523193359375,135.46875,136.625,135.21875,136.0625,4560800
1999-09-08 00:00:00+00:00,85.75772857666016,134.8125,136.0625,134.03125,134.84375,6159600
1999-09-09 00:00:00+00:00,85.71800994873047,134.75,135.25,133.6875,134.75,6177800
1999-09-10 00:00:00+00:00,86.43366241455078,135.875,136.359375,134.9375,136.25,2934500
1999-09-13 00:00:00+00:00,85.84723663330078,134.953125,135.46875,134.5,135.125,2320500
1999-09-14 00:00:00+00:00,85.28070068359375,134.0625,134.5625,133.375,134.0625,3736000
1999-09-15 00:00:00+00:00,83.92888641357422,131.9375,135.4375,131.875,135.4375,6984500
1999-09-16 00:00:00+00:00,84.25690460205078,132.453125,132.8125,130.3125,132.5,15377600
1999-09-17 00:00:00+00:00,85.32152557373047,133.75,133.9375,132.15625,132.625,8542300
1999-09-20 00:00:00+00:00,85.20189666748047,133.5625,134.0,133.09375,133.9375,2803900
1999-09-21 00:00:00+00:00,83.4077377319336,130.75,132.46875,130.15625,132.25,9335200
1999-09-22 00:00:00+00:00,83.31803131103516,130.609375,131.84375,129.75,131.25,13009100
1999-09-23 00:00:00+00:00,81.57373046875,127.875,131.8125,127.625,131.8125,12204100
1999-09-24 00:00:00+00:00,81.49398803710938,127.75,128.375,126.3125,127.75,13792900
1999-09-27 00:00:00+00:00,82.0322494506836,128.59375,129.75,128.28125,128.75,6970300
1999-09-28 00:00:00+00:00,81.87277221679688,128.34375,128.8125,125.5625,127.9375,11063400
1999-09-29 00:00:00+00:00,80.89596557617188,126.8125,129.125,126.75,128.4375,7580300
1999-09-30 00:00:00+00:00,82.13195037841797,128.75,129.4375,126.96875,127.4375,7498900
1999-10-01 00:00:00+00:00,81.95249938964844,128.46875,128.5625,126.625,127.9375,11127100
1999-10-04 00:00:00+00:00,83.4077377319336,130.75,130.875,128.75,129.1875,6341600
1999-10-05 00:00:00+00:00,83.32801818847656,130.625,131.96875,128.6875,130.71875,11976000
1999-10-06 00:00:00+00:00,84.60387420654297,132.625,132.8125,130.6875,130.75,10308200
1999-10-07 00:00:00+00:00,84.12541198730469,131.875,133.0,131.5,132.859375,6535600
1999-10-08 00:00:00+00:00,85.40125274658203,133.875,133.875,131.234375,131.75,9674300
1999-10-11 00:00:00+00:00,85.26165771484375,133.65625,134.125,133.3125,133.59375,4282000
1999-10-12 00:00:00+00:00,83.9460220336914,131.59375,133.3125,131.1875,133.125,8686100
1999-10-13 00:00:00+00:00,81.77307891845703,128.1875,131.3125,128.1875,130.6875,10469300
1999-10-14 00:00:00+00:00,81.75318145751953,128.15625,129.1875,126.75,128.484375,10562200
1999-10-15 00:00:00+00:00,79.65999603271484,124.875,126.75,124.5,126.0,14238700
1999-10-18 00:00:00+00:00,80.23811340332031,125.78125,125.9375,123.4375,124.9375,9758800
1999-10-19 00:00:00+00:00,81.01556396484375,127.0,128.25,125.9375,127.1875,14392900
1999-10-20 00:00:00+00:00,81.81295776367188,128.25,129.46875,127.125,127.75,9759400
1999-10-21 00:00:00+00:00,82.2913818359375,129.0,129.0,126.625,127.21875,9105400
1999-10-22 00:00:00+00:00,82.98912048339844,130.09375,131.21875,129.5625,129.75,8309600
1999-10-25 00:00:00+00:00,82.57051086425781,129.4375,130.46875,128.75,129.3125,8114300
1999-10-26 00:00:00+00:00,81.53389739990234,127.8125,130.6875,127.8125,130.1875,6256300
1999-10-27 00:00:00+00:00,83.00907897949219,130.125,130.3125,128.25,128.375,5433300
1999-10-28 00:00:00+00:00,85.83979034423828,134.5625,134.859375,132.1875,132.4375,10509700
1999-10-29 00:00:00+00:00,87.39474487304688,137.0,137.6875,135.71875,135.84375,10988600
1999-11-01 00:00:00+00:00,86.47777557373047,135.5625,137.0,135.5625,136.5,4006500
1999-11-02 00:00:00+00:00,85.85975646972656,134.59375,137.25,134.59375,135.96875,6516900
1999-11-03 00:00:00+00:00,86.4378662109375,135.5,136.375,135.125,136.0,7222300
1999-11-04 00:00:00+00:00,87.09571075439453,136.53125,137.359375,135.765625,136.75,7907500
1999-11-05 00:00:00+00:00,87.9529037475586,137.875,139.109375,136.78125,138.625,7431500
1999-11-08 00:00:00+00:00,88.03262329101562,138.0,138.375,136.75,137.0,4649200
1999-11-09 00:00:00+00:00,87.20538330078125,136.703125,138.6875,136.28125,138.5,4533700
1999-11-10 00:00:00+00:00,87.85324096679688,137.71875,138.390625,136.078125,136.25,6405600
1999-11-11 00:00:00+00:00,88.35162353515625,138.5,138.5,137.46875,138.1875,4794100
1999-11-12 00:00:00+00:00,89.14899444580078,139.75,139.984375,137.125,139.25,11802900
1999-11-15 00:00:00+00:00,89.35831451416016,140.078125,140.25,139.40625,139.84375,2187500
1999-11-16 00:00:00+00:00,90.10590362548828,141.25,143.0,140.09375,140.5625,7544800
1999-11-17 00:00:00+00:00,90.34513092041016,141.625,142.9375,141.3125,142.25,9459000
1999-11-18 00:00:00+00:00,90.98299407958984,142.625,143.0,141.625,142.4375,4491000
1999-11-19 00:00:00+00:00,90.90326690673828,142.5,142.96875,142.0,142.40625,4832100
1999-11-22 00:00:00+00:00,90.88336181640625,142.46875,143.0,141.5,142.4375,4155400
1999-11-23 00:00:00+00:00,90.08594512939453,141.21875,142.84375,140.375,142.84375,5918000
1999-11-24 00:00:00+00:00,90.56438446044922,141.96875,142.4375,140.0,140.75,4459700
1999-11-26 00:00:00+00:00,90.22547912597656,141.4375,142.875,141.25,142.46875,1693900
1999-11-29 00:00:00+00:00,89.90653991699219,140.9375,141.921875,140.4375,140.875,7348600
1999-11-30 00:00:00+00:00,88.85002136230469,139.28125,142.3125,139.0,140.75,7682000
1999-12-01 00:00:00+00:00,89.567626953125,140.40625,140.5,139.0,139.3125,6980200
